chunk unpinned same cross
4 16.1900 12.5300 19.0800
16 77.8900 49.3100 79.8800
64 286.8700 195.9400 292.5600
256 1095.2600 751.5000 1074.1900
1024 4196.9300 2511.4700 4235.7200
4096 5737.2600 6366.4800 5567.4200
8192 6436.9000 8047.5200 6431.1900
16384 5505.4500 9329.1600 4882.3600
32768 4811.3800 9668.4600 5595.6700
49152 4105.8200 9608.4600 4213.9600
65536 3264.1200 9678.3900 2712.1800
81920 3488.2400 9633.7800 2047.7100
131072 1983.6200 9099.2500 2014.3100
262144 1976.0800 9301.0700 2224.8600
524288 2002.7700 9424.9200 2390.9900
