clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,11852.91,2062.00,ns
clock_gettime,16,20000,11365.73,2020.00,ns
clock_gettime,64,20000,11353.51,2166.00,ns
clock_gettime,256,20000,11631.44,2062.00,ns
clock_gettime,1024,20000,11688.92,2166.00,ns
clock_gettime,4096,20000,11858.44,2333.00,ns
clock_gettime,16384,5000,15009.23,5873.50,ns
clock_gettime,65536,5000,17083.42,9205.50,ns
clock_gettime,262144,500,67795.51,53379.50,ns
clock_gettime,524288,500,132084.20,110299.00,ns
gettimeofday,4,20000,11.60,2.00,us
gettimeofday,16,20000,11.67,4.00,us
gettimeofday,64,20000,11.62,2.50,us
gettimeofday,256,20000,11.57,2.50,us
gettimeofday,1024,20000,11.74,3.50,us
gettimeofday,4096,20000,11.79,4.00,us
gettimeofday,16384,5000,13.77,3.50,us
gettimeofday,65536,5000,17.93,9.50,us
gettimeofday,262144,500,67.22,57.00,us
gettimeofday,524288,500,137.07,113.50,us
