clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,814.74,749.50,ns
clock_gettime,16,20000,823.15,750.00,ns
clock_gettime,64,20000,810.49,749.50,ns
clock_gettime,256,20000,810.19,729.00,ns
clock_gettime,1024,20000,816.03,749.50,ns
clock_gettime,4096,20000,888.54,812.00,ns
clock_gettime,16384,5000,1418.95,1312.00,ns
clock_gettime,65536,5000,3527.44,3311.00,ns
clock_gettime,262144,500,14555.50,13495.00,ns
clock_gettime,524288,500,28277.00,27052.50,ns
gettimeofday,4,20000,0.81,0.50,us
gettimeofday,16,20000,0.81,0.50,us
gettimeofday,64,20000,0.81,0.50,us
gettimeofday,256,20000,0.81,0.50,us
gettimeofday,1024,20000,0.82,0.50,us
gettimeofday,4096,20000,0.87,0.50,us
gettimeofday,16384,5000,1.42,1.00,us
gettimeofday,65536,5000,3.52,3.00,us
gettimeofday,262144,500,13.74,13.00,us
gettimeofday,524288,500,26.73,26.00,us
