clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,11502.08,2290.50,ns
clock_gettime,16,20000,8389.37,2124.00,ns
clock_gettime,64,20000,12084.18,2353.00,ns
clock_gettime,256,20000,11782.86,4123.00,ns
clock_gettime,1024,20000,10961.94,2270.00,ns
clock_gettime,4096,20000,11782.16,2186.50,ns
clock_gettime,16384,5000,14670.20,6497.00,ns
clock_gettime,65536,5000,18370.45,9682.50,ns
clock_gettime,262144,500,72086.45,39709.00,ns
clock_gettime,524288,500,146909.78,81126.00,ns
gettimeofday,4,20000,11.51,2.50,us
gettimeofday,16,20000,11.15,3.00,us
gettimeofday,64,20000,12.55,2.50,us
gettimeofday,256,20000,12.41,2.50,us
gettimeofday,1024,20000,12.24,2.50,us
gettimeofday,4096,20000,11.99,2.00,us
gettimeofday,16384,5000,11.03,4.50,us
gettimeofday,65536,5000,22.33,9.00,us
gettimeofday,262144,500,70.50,38.50,us
gettimeofday,524288,500,152.02,77.00,us
