requested_capacity,actual_capacity,chunk_bytes,total_bytes,best_MiB_per_s,chunk_over_capacity
4096,4096,1024,33554432,231.76,0.2500
4096,4096,4096,33554432,227.39,1.0000
4096,4096,8192,33554432,169.03,2.0000
4096,4096,16384,33554432,172.24,4.0000
4096,4096,32768,33554432,175.93,8.0000
4096,4096,65536,33554432,181.99,16.0000
4096,4096,131072,33554432,184.43,32.0000
4096,4096,262144,33554432,185.93,64.0000
4096,4096,524288,33554432,187.26,128.0000
16384,16384,1024,33554432,4132.09,0.0625
16384,16384,4096,33554432,3116.62,0.2500
16384,16384,8192,33554432,702.97,0.5000
16384,16384,16384,33554432,749.97,1.0000
16384,16384,32768,33554432,653.26,2.0000
16384,16384,65536,33554432,649.90,4.0000
16384,16384,131072,33554432,663.03,8.0000
16384,16384,262144,33554432,663.78,16.0000
16384,16384,524288,33554432,668.12,32.0000
65536,65536,1024,33554432,4248.23,0.0156
65536,65536,4096,33554432,5598.57,0.0625
65536,65536,8192,33554432,5650.55,0.1250
65536,65536,16384,33554432,5617.53,0.2500
65536,65536,32768,33554432,3650.47,0.5000
65536,65536,65536,33554432,2131.87,1.0000
65536,65536,131072,33554432,2051.31,2.0000
65536,65536,262144,33554432,2090.27,4.0000
65536,65536,524288,33554432,2075.28,8.0000
262144,262144,1024,33554432,3286.18,0.0039
262144,262144,4096,33554432,6713.15,0.0156
262144,262144,8192,33554432,7079.25,0.0312
262144,262144,16384,33554432,6729.91,0.0625
262144,262144,32768,33554432,7886.53,0.1250
262144,262144,65536,33554432,8220.88,0.2500
262144,262144,131072,33554432,8180.68,0.5000
262144,262144,262144,33554432,4595.35,1.0000
262144,262144,524288,33554432,4701.27,2.0000
1048576,1048576,1024,33554432,3392.06,0.0010
1048576,1048576,4096,33554432,4845.56,0.0039
1048576,1048576,8192,33554432,7364.47,0.0078
1048576,1048576,16384,33554432,8503.28,0.0156
1048576,1048576,32768,33554432,9126.04,0.0312
1048576,1048576,65536,33554432,8668.93,0.0625
1048576,1048576,131072,33554432,8338.68,0.1250
1048576,1048576,262144,33554432,7802.88,0.2500
1048576,1048576,524288,33554432,7542.00,0.5000
