requested_capacity,actual_capacity,chunk_bytes,total_bytes,best_MiB_per_s,chunk_over_capacity
4096,4096,1024,33554432,1473.05,0.2500
4096,4096,4096,33554432,2721.66,1.0000
4096,4096,8192,33554432,2787.99,2.0000
4096,4096,16384,33554432,2918.25,4.0000
4096,4096,32768,33554432,2925.82,8.0000
4096,4096,65536,33554432,2992.83,16.0000
4096,4096,131072,33554432,3091.39,32.0000
4096,4096,262144,33554432,3155.46,64.0000
4096,4096,524288,33554432,3205.24,128.0000
16384,16384,1024,33554432,2248.25,0.0625
16384,16384,4096,33554432,4940.67,0.2500
16384,16384,8192,33554432,5737.51,0.5000
16384,16384,16384,33554432,6608.79,1.0000
16384,16384,32768,33554432,6735.95,2.0000
16384,16384,65536,33554432,7003.49,4.0000
16384,16384,131072,33554432,7343.51,8.0000
16384,16384,262144,33554432,7152.24,16.0000
16384,16384,524288,33554432,7239.00,32.0000
65536,65536,1024,33554432,2452.17,0.0156
65536,65536,4096,33554432,5823.29,0.0625
65536,65536,8192,33554432,7490.46,0.1250
65536,65536,16384,33554432,9026.12,0.2500
65536,65536,32768,33554432,9349.81,0.5000
65536,65536,65536,33554432,9492.28,1.0000
65536,65536,131072,33554432,9837.18,2.0000
65536,65536,262144,33554432,9908.24,4.0000
65536,65536,524288,33554432,9964.67,8.0000
262144,262144,1024,33554432,2500.12,0.0039
262144,262144,4096,33554432,5791.02,0.0156
262144,262144,8192,33554432,8108.08,0.0312
262144,262144,16384,33554432,9703.57,0.0625
262144,262144,32768,33554432,10742.47,0.1250
262144,262144,65536,33554432,10894.69,0.2500
262144,262144,131072,33554432,10726.72,0.5000
262144,262144,262144,33554432,10854.96,1.0000
262144,262144,524288,33554432,10791.83,2.0000
1048576,1048576,1024,33554432,2448.48,0.0010
1048576,1048576,4096,33554432,6227.90,0.0039
1048576,1048576,8192,33554432,8139.53,0.0078
1048576,1048576,16384,33554432,9961.31,0.0156
1048576,1048576,32768,33554432,11238.70,0.0312
1048576,1048576,65536,33554432,11110.59,0.0625
1048576,1048576,131072,33554432,10436.10,0.1250
1048576,1048576,262144,33554432,10935.33,0.2500
1048576,1048576,524288,33554432,10964.52,0.5000
