chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,17.61,18.76,220.85
16,200000,3200000,5,51.22,58.98,300.93
64,200000,12800000,5,215.12,267.74,289.20
256,200000,51200000,5,891.57,956.85,275.92
1024,65536,67108864,5,3972.56,4070.92,245.88
4096,16384,67108864,5,5017.68,5094.37,778.56
8192,8192,67108864,5,5650.51,6431.19,1390.89
16384,4096,67108864,5,3712.21,4067.67,4221.60
32768,2048,67108864,5,3912.74,5373.72,8325.82
49152,1365,67092480,5,3312.18,3608.39,14249.11
65536,1024,67108864,5,2174.68,2375.34,28845.60
81920,819,67092480,5,2026.64,2047.71,38551.25
131072,512,67108864,5,2000.24,2014.31,62495.96
262144,256,67108864,5,2082.11,2224.86,120256.91
524288,128,67108864,5,2064.01,2078.05,242260.18
