chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,12.39,12.46,307.84
16,200000,3200000,5,49.05,49.31,311.09
64,200000,12800000,5,194.82,195.66,313.29
256,200000,51200000,5,748.66,750.51,326.10
1024,65536,67108864,5,2485.63,2504.18,392.90
4096,16384,67108864,5,6202.42,6285.20,629.84
8192,8192,67108864,5,7965.23,8047.52,980.96
16384,4096,67108864,5,9246.79,9329.16,1689.84
32768,2048,67108864,5,9569.69,9668.46,3265.74
49152,1365,67092480,5,9529.43,9608.46,4919.31
65536,1024,67108864,5,9621.39,9678.39,6496.14
81920,819,67092480,5,9592.54,9633.78,8144.43
131072,512,67108864,5,9067.04,9099.25,13786.26
262144,256,67108864,5,9257.39,9295.79,27005.68
524288,128,67108864,5,9285.85,9333.86,53847.24
