chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,13.19,15.73,297.16
16,200000,3200000,5,64.21,72.52,243.42
64,200000,12800000,5,239.49,272.68,258.58
256,200000,51200000,5,878.12,1000.57,280.80
1024,65536,67108864,5,2877.91,3987.13,354.51
4096,16384,67108864,5,4904.49,5280.59,801.98
8192,8192,67108864,5,4535.82,4892.68,1729.74
16384,4096,67108864,5,4902.76,5072.85,3192.39
32768,2048,67108864,5,3414.52,3830.12,9324.19
49152,1365,67092480,5,3351.85,3924.73,14202.27
65536,1024,67108864,5,2058.18,2217.22,30519.01
81920,819,67092480,5,1885.74,1931.91,41455.75
131072,512,67108864,5,1946.47,2074.76,64306.65
262144,256,67108864,5,1926.68,1982.45,129801.85
524288,128,67108864,5,1924.91,2100.37,260816.12
