Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          17.95          18.90           214.14
        16     200000         3.05          72.01          78.42           213.35
        64     200000        12.21         274.23         283.02           222.84
       256     200000        48.83        1040.97        1082.26           235.73
      1024      65536        64.00        4036.06        4229.31           242.48
      4096      16384        64.00        5584.15        5886.04           700.94
      8192       8192        64.00        5192.38        5835.20          1524.80
     16384       4096        64.00        3638.43        4105.50          4333.25
     32768       2048        64.00        2748.15        3018.73         11416.23
     49152       1365        63.98        3786.81        4811.13         12768.37
     65536       1024        64.00        2387.99        2998.26         26945.58
     81920        819        63.98        2007.45        2014.44         38917.77
    131072        512        64.00        1810.65        1952.34         69189.34
    262144        256        64.00        2012.23        2063.21        124416.15
    524288        128        64.00        1753.69        1790.72        285166.21

Wrote pipe_throughput_cross-r3.csv
