Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          12.14          12.33           314.38
        16     200000         3.05          48.58          48.95           314.12
        64     200000        12.21         192.35         194.52           317.34
       256     200000        48.83         731.10         745.09           334.07
      1024      65536        64.00        2419.57        2455.04           403.64
      4096      16384        64.00        6017.27        6124.61           649.27
      8192       8192        64.00        7651.18        7855.85          1021.41
     16384       4096        64.00        8887.78        9078.12          1758.53
     32768       2048        64.00        9030.24        9217.70          3461.58
     49152       1365        63.98        9068.32        9512.01          5172.17
     65536       1024        64.00        9111.58        9595.91          6865.42
     81920        819        63.98        9294.37        9621.93          8409.52
    131072        512        64.00        8651.03        9108.85         14459.42
    262144        256        64.00        8730.23        8943.12         28648.82
    524288        128        64.00        8807.02        8933.60         56788.76

Wrote pipe_throughput_same-r5.csv
