Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          11.45          14.82           343.84
        16     200000         3.05          54.68          66.28           283.41
        64     200000        12.21         203.07         226.87           302.64
       256     200000        48.83         802.54         836.48           304.48
      1024      65536        64.00        2845.28        3795.59           362.06
      4096      16384        64.00        3432.21        4791.38          1197.18
      8192       8192        64.00        4308.76        4926.06          1823.58
     16384       4096        64.00        4559.64        5003.88          3440.12
     32768       2048        64.00        2814.61        2941.46         11135.77
     49152       1365        63.98        2717.06        2887.60         17283.59
     65536       1024        64.00        2085.22        2270.12         30112.75
     81920        819        63.98        1845.92        1909.75         42339.21
    131072        512        64.00        1859.83        1878.98         67218.10
    262144        256        64.00        1857.48        1879.44        134610.31
    524288        128        64.00        1880.49        1906.55        265919.70

Wrote pipe_throughput_unpinned-r5.csv
